S.NO,product_id,product_name,piece per case,category,MRP price,quantity,unit,SGST,CGST,CESS
1,2977,7 UP,12,PET,60,1.25,L,7,7,12
2,4352,7 UP,9,PET,99,2.25,L,7,7,12
3,1008,7 UP,24,RGP,10,200,ml,7,7,12
4,3591,7 UP,24,CAN,35,250,ml,7,7,12
5,1961,7 UP,30,PET,20,250,ml,7,7,12
6,4949,7 UP,24,PET,40,750,ml,7,7,12
7,1742,7 UP ZERO SUGAR,30,PET,15,250,ml,7,7,12
8,4762,7 UP NIMBOZE,40,TETRA,10,125,ml,7,7,12
9,4395,7 UP NIMBOZE,30,PET,15,250,ml,7,7,12
10,2846,AQUAFINA,12,PET,12,1,L,9,9,0
11,4232,AQUAFINA,30,PET,6,250,ml,9,9,0
12,2813,AQUAFINA,24,PET,10,500,ml,9,9,0
13,4710,AQUAFINA,9,PET,25,2,L,9,9,0
14,8554,CB MILK BUTTERSCOTCH,24,PET,35,180,ml,7,7,12
15,8636,CB MILK CHOCOLATE,24,PET,35,180,ml,7,7,12
16,8635,CB MILK COFFEE,24,PET,35,180,ml,7,7,12
17,8627,CB MILK ELAICHI,24,PET,35,180,ml,7,7,12
18,8633,CB MILK KESAR BADAM,24,PET,35,180,ml,7,7,12
19,8630,CB MILK MANGO,24,PET,35,180,ml,7,7,12
20,2655,EVERVESS SODA,24,PET,20,750,ml,7,7,12
21,1381,MIRINDA ORANGE,12,PET,60,1.25,L,7,7,12
22,4351,MIRINDA ORANGE,9,PET,99,2.25,L,7,7,12
23,1006,MIRINDA ORANGE,24,RGP,10,200,ml,7,7,12
24,1423,MIRINDA ORANGE,24,CAN,35,250,ml,7,7,12
25,1962,MIRINDA ORANGE,30,PET,20,250,ml,7,7,12
26,4950,MIRINDA ORANGE,24,PET,40,750,ml,7,7,12
27,1009,MOUNTAIN DEW,24,RGP,10,200,ml,7,7,12
28,3588,MOUNTAIN DEW,24,CAN,35,250,ml,7,7,12
29,1467,MOUNTAIN DEW,30,PET,15,250,ml,7,7,12
30,4767,MOUNTAIN DEW,30,PET,20,400,ml,7,7,12
31,4951,MOUNTAIN DEW,24,PET,40,750,ml,7,7,12
32,3537,PEPSI BLACK,24,CAN,35,250,ml,7,7,12
33,4782,PEPSI BLACK,24,PET,30,600,ml,7,7,12
34,2976,PEPSI COLA,12,PET,60,1.25,L,7,7,12
35,1398,PEPSI COLA,9,PET,99,2.25,L,7,7,12
36,3589,PEPSI COLA,24,CAN,20,250,ml,7,7,12
37,1005,PEPSI COLA,24,RGP,10,200,ml,7,7,12
38,1965,PEPSI COLA,30,PET,20,250,ml,7,7,12
39,4906,PEPSI COLA,24,PET,40,750,ml,7,7,12
40,4175,SLICE MANGO,12,PET,75,1.2,L,6,6,0
41,4197,SLICE MANGO,40,TETRA,10,125,ml,6,6,0
42,4198,SLICE MANGO,24,RGP,10,200,ml,6,6,0
43,4199,SLICE MANGO,30,PET,20,250,ml,6,6,0
44,4174,SLICE MANGO,24,PET,40,600,ml,6,6,0
45,1886,STING,24,CAN,35,250,ml,7,7,12
46,1981,STING,30,PET,20,250,ml,7,7,12
47,4785,STING BLUE,30,PET,20,250,ml,7,7,12
48,8325,TROPICANA APPLE,30,PET,30,180,ml,6,6,0
49,8329,TROPICANA MIX FRUIT,30,PET,15,200,ml,6,6,0
50,8317,TROPICANA ORANGE,30,PET,20,180,ml,6,6,0
51,8327,TROPICANA GUAVA,30,PET,15,180,ml,6,6,0
52,8326,TROPICANA LYCHEE,30,PET,15,180,ml,6,6,0
53,8318,TROPICANA POMEGRANATE,30,PET,20,180,ml,6,6,0
54,8519,TROPICANA APPLE,40,TETRA,10,125,ml,6,6,0
