product_id,product_name,piecepercase,category,price,quantity,unit,transformed_values
1379,7 UP,12,PET,65,1.25,L,7 UP
1376,7 UP,12,PET,65,1.5,L,7 UP
3585,7 UP,24,CAN,20,150,ml,7 UP
4787,7 UP,30,CAN,30,180,ml,7 UP
2211,7 UP,12,PET,35,1,L,7 UP
2535,7 UP,9,PET,70,2.25,L,7 UP
1008,7 UP,24,RGP,10,200,ml,7 UP
1453,7 UP,24,CAN,20,250,ml,7 UP
1466,7 UP,24,PET,15,250,ml,7 UP
2499,7 UP,9,PET,65,2,L,7 UP
1114,7 UP,24,RGP,25,300,ml,7 UP
1940,7 UP,30,PET,20,300,ml,7 UP
4255,7 UP,24,CAN,30,300,ml,7 UP
1907,7 UP,24,PET,20,330,ml,7 UP
7141,7 UP,24,CAN,60,330,ml,7 UP
3120,7 UP,24,PET,20,400,ml,7 UP
1884,7 UP,24,PET,30,475,ml,7 UP
1872,7 UP,24,PET,60,500,ml,7 UP
1890,7 UP,30,PET,30,600,ml,7 UP
3114,7 UP,24,PET,38,750,ml,7 UP
4762,7 UP,40,TETRA,10,125,ml,7 UP
1875,7 UP,24,PET,25,350,ml,7 UP
2802,AQUAFINA,12,PET,12,1,L,AQUAFINA
4232,AQUAFINA,30,PET,6,250,ml,AQUAFINA
2826,AQUAFINA,9,PET,25,2,L,AQUAFINA
2813,AQUAFINA,24,PET,10,500,ml,AQUAFINA
2899,AQUAVESS,12,PET,50,1,L,AQUAVESS
4713,AQUAVESS,30,PET,30,500,ml,AQUAVESS
8554,CB MILK BUTTERSCOTCH,24,PET,35,180,ml,CB MILK BUTTERSCOTCH
8629,CB MILK CHOCOLATE,24,PET,30,180,ml,CB MILK CHOCOLATE
8608,CB MILK CHOCOLATE,30,PET,30,200,ml,CB MILK CHOCOLATE
8628,CB MILK COFFEE,24,PET,30,180,ml,CB MILK COFFEE
8609,CB MILK COFFEE,30,PET,30,200,ml,CB MILK COFFEE
8627,CB MILK ELAICHI,24,PET,30,180,ml,CB MILK ELAICHI
8618,CB MILK ELAICHI,30,PET,20,200,ml,CB MILK ELAICHI
8626,CB MILK KESAR BADAM,24,PET,30,180,ml,CB MILK KESAR BADAM
8617,CB MILK KESAR BADAM,30,PET,20,200,ml,CB MILK KESAR BADAM
8630,CB MILK MANGO,24,PET,30,180,ml,CB MILK MANGO
8607,CB MILK MANGO,30,PET,30,200,ml,CB MILK MANGO
8615,CB TADKA CHAACH,40,TETRA,10,125,ml,CB TADKA CHAACH
8614,CB TADKA CHAACH,30,TETRA,15,200,ml,CB TADKA CHAACH
2626,EVERVESS SODA,12,PET,25,1.25,L,EVERVESS SODA
2611,EVERVESS SODA,12,PET,20,1,L,EVERVESS SODA
2658,EVERVESS SODA,9,PET,35,2.25,L,EVERVESS SODA
2659,EVERVESS SODA,24,PET,10,250,ml,EVERVESS SODA
7390,EVERVESS SODA,24,CAN,25,250,ml,EVERVESS SODA
2610,EVERVESS SODA,9,PET,30,2,L,EVERVESS SODA
2600,EVERVESS SODA,24,RGP,6,300,ml,EVERVESS SODA
1909,EVERVESS SODA,24,PET,10,330,ml,EVERVESS SODA
2612,EVERVESS SODA,24,PET,15,600,ml,EVERVESS SODA
2655,EVERVESS SODA,24,PET,20,750,ml,EVERVESS SODA
2296,MOUNTAIN DEW,12,PET,52,1.25,L,M DEW
2293,MIRINDA ORANGE,12,PET,52,1.25,L,M ORANGE
3572,MOUNTAIN DEW,24,CAN,25,250,ml,M.DEW
3525,MOUNTAIN DEW GAME FUEL,24,CAN,25,250,ml,M.DEW GAME FUEL
1381,MIRINDA ORANGE,12,PET,65,1.25,L,MIRINDA ORANGE
