product_id,product_name,piecepercase,category,price,quantity,unit
1379,7 UP,12,PET,65.0,1.25,L
1894,7 UP,15,PET,50.0,1.25,L
2274,7 UP,12,PET,50.0,1.25,L
2282,7 UP,12,PET,52.0,1.25,L
2288,7 UP,12,PET,50.0,1.25,L
2918,7 UP,12,PET,55.0,1.25,L
2947,7 UP,12,PET,49.0,1.25,L
2977,7 UP,12,PET,60.0,1.25,L
2989,7 UP,12,PET,60.0,1.25,L
3190,7 UP,12,PET,58.0,1.25,L
4131,7 UP,15,PET,60.0,1.25,L
4142,7 UP,12,PET,65.0,1.25,L
4257,7 UP,15,PET,50.0,1.25,L
4399,7 UP,12,PET,60.0,1.25,L
1376,7 UP,12,PET,65.0,1.5,L
1378,7 UP,12,PET,68.0,1.5,L
1387,7 UP,12,PET,75.0,1.5,L
3585,7 UP,24,CAN,20.0,150.0,ml
4787,7 UP,30,CAN,30.0,180.0,ml
2211,7 UP,12,PET,35.0,1.0,L
2237,7 UP,12,PET,40.0,1.0,L
2258,7 UP,12,PET,45.0,1.0,L
2295,7 UP,12,PET,52.0,1.0,L
2297,7 UP,12,PET,47.0,1.0,L
2930,7 UP,12,PET,50.0,1.0,L
2966,7 UP,12,PET,49.0,1.0,L
2535,7 UP,9,PET,70.0,2.25,L
2548,7 UP,9,PET,75.0,2.25,L
2557,7 UP,9,PET,78.0,2.25,L
2574,7 UP,9,PET,80.0,2.25,L
2588,7 UP,9,PET,80.0,2.25,L
3178,7 UP,9,PET,90.0,2.25,L
3185,7 UP,9,PET,90.0,2.25,L
3956,7 UP,9,PET,85.0,2.25,L
3980,7 UP,9,PET,85.0,2.25,L
4296,7 UP,9,PET,99.0,2.25,L
4352,7 UP,9,PET,99.0,2.25,L
4453,7 UP,9,PET,90.0,2.25,L
4527,7 UP,9,PET,95.0,2.25,L
4757,7 UP,9,PET,95.0,2.25,L
1008,7 UP,24,RGP,10.0,200.0,ml
1030,7 UP,24,RGP,10.0,200.0,ml
1044,7 UP,24,RGP,12.0,200.0,ml
1097,7 UP,24,RGP,14.0,200.0,ml
1112,7 UP,24,RGP,15.0,200.0,ml
4211,7 UP,24,RGP,13.0,200.0,ml
4216,7 UP,24,RGP,14.0,200.0,ml
1453,7 UP,24,CAN,20.0,250.0,ml
1466,7 UP,24,PET,15.0,250.0,ml
1478,7 UP,24,CAN,25.0,250.0,ml
1876,7 UP,24,PET,20.0,250.0,ml
1902,7 UP,24,PET,18.0,250.0,ml
1961,7 UP,30,PET,20.0,250.0,ml
1967,7 UP,30,PET,18.0,250.0,ml
3507,7 UP,24,CAN,22.0,250.0,ml
3513,7 UP,24,CAN,30.0,250.0,ml
3575,7 UP,24,CAN,25.0,250.0,ml
3591,7 UP,24,CAN,35.0,250.0,ml
4093,7 UP,24,CAN,29.17,250.0,ml
4134,7 UP,30,PET,18.0,250.0,ml
4181,7 UP,30,PET,20.0,250.0,ml
4276,7 UP,30,PET,20.0,250.0,ml
4983,7 UP,6,CAN,99.0,250.0,ml
2499,7 UP,9,PET,65.0,2.0,L
2724,LEMONY BITE,9,PET,59.0,2.0,L
2727,7 UP,9,PET,59.0,2.0,L
2760,7 UP,9,PET,59.0,2.0,L
4437,7 UP,9,PET,90.0,2.0,L
1114,7 UP,24,RGP,25.0,300.0,ml
1228,7 UP,24,RGP,14.0,300.0,ml
1252,7 UP,24,RGP,15.0,300.0,ml
1264,7 UP,24,RGP,16.0,300.0,ml
1282,7 UP,24,RGP,18.0,300.0,ml
1540,7 UP,24,RGP,20.0,300.0,ml
1940,7 UP,30,PET,20.0,300.0,ml
4255,7 UP,24,CAN,30.0,300.0,ml
4739,7 UP,24,CAN,60.0,300.0,ml
1907,7 UP,24,PET,20.0,330.0,ml
1975,7 UP,30,PET,20.0,330.0,ml
3398,7 UP,24,PET,25.0,330.0,ml
4103,7 UP,24,PET,20.0,330.0,ml
7141,7 UP,24,CAN,60.0,330.0,ml
3120,7 UP,24,PET,20.0,400.0,ml
3129,7 UP,24,PET,25.0,400.0,ml
4221,7 UP,24,PET,28.0,400.0,ml
1884,7 UP,24,PET,30.0,475.0,ml
4172,7 UP,24,PET,60.0,475.0,ml
1872,7 UP,24,PET,60.0,500.0,ml
3139,7 UP,24,PET,35.0,500.0,ml
3140,7 UP,24,PET,32.0,500.0,ml
3198,7 UP,24,PET,60.0,500.0,ml
4184,7 UP,24,PET,60.0,500.0,ml
4339,7 UP,24,PET,30.0,500.0,ml
1890,7 UP,30,PET,30.0,600.0,ml
2023,7 UP,24,PET,30.0,600.0,ml
2057,7 UP,24,PET,25.0,600.0,ml
2063,7 UP,24,PET,27.0,600.0,ml
2083,7 UP,24,PET,29.0,600.0,ml
2088,7 UP,24,PET,35.0,600.0,ml
2333,7 UP,24,PET,32.0,600.0,ml
2365,7 UP,24,PET,30.0,600.0,ml
3105,7 UP,24,PET,45.0,600.0,ml
3128,7 UP,24,PET,35.0,600.0,ml
4281,7 UP,24,PET,38.0,600.0,ml
4512,7 UP,24,PET,37.0,600.0,ml
4780,7 UP,24,PET,30.0,600.0,ml
4966,7 UP,24,PET,38.0,600.0,ml
3114,7 UP,24,PET,38.0,750.0,ml
3124,7 UP,24,PET,35.0,750.0,ml
4285,7 UP,24,PET,40.0,750.0,ml
4934,7 UP,24,PET,39.0,750.0,ml
4935,7 UP,24,PET,39.0,750.0,ml
4949,7 UP,24,PET,40.0,750.0,ml
4953,7 UP,24,PET,40.0,750.0,ml
