COMP_TYPE,BRAND_NAME,PACK_NAME,PRD_CD,PRD_DESC1,CONV_FACTOR,MRP_UN,RP,DEALER_MARGIN,Textbox51,RP1
BEV,7 UP,1.25L,1379,7 UP 1.25 L PET 12 Rs65,12,65.00,60.0000,8.33,0.00,60.0000
BEV,7 UP,1.25L,1894,7 UP 1.25 L PET 15 Rs50 PROMO,15,50.00,46.6667,7.14,0.00,46.6667
BEV,7 UP,1.25L,2274,7 UP 1.25 L PET 12 Rs50,12,50.00,45.0000,11.11,0.00,45.0000
BEV,7 UP,1.25L,2282,7 UP 1.25 L PET 12 Rs52,12,52.00,47.5000,9.47,0.00,47.5000
BEV,7 UP,1.25L,2288,7 UP 1.25 L PET 12 Rs50 PROMO,12,50.00,45.8333,9.09,0.00,45.8333
BEV,7 UP,1.25L,2918,7 UP 1.25 L PET 12 Rs55,12,55.00,50.0000,10.00,0.00,50.0000
BEV,7 UP,1.25L,2947,7 UP 1.25 L PET 12 Rs49,12,49.00,45.0000,8.89,0.00,45.0000
BEV,7 UP,1.25L,2977,7 UP 1.25 L PET 12 Rs60,12,60.00,55.0000,9.09,0.00,55.0000
BEV,7 UP,1.25L,2989,7 UP 1.25 L PET 12 Rs60 PROMO,12,60.00,55.0000,9.09,0.00,55.0000
BEV,7 UP,1.25L,3190,7 UP 1.25 L PET 12 Rs58,12,58.00,53.0000,9.43,0.00,53.0000
BEV,7 UP,1.25L,4131,7 UP 1.25 L PET 15 Rs60,15,60.00,56.0000,7.14,0.00,56.0000
BEV,7 UP,1.25L,4142,7 UP 1.25 L PET 12 Rs65 PR-ATL,12,65.00,60.0000,8.33,0.00,60.0000
BEV,7 UP,1.25L,4257,7 UP 1.25 L PET 15 Rs50,15,50.00,46.0000,8.70,0.00,46.0000
BEV,7 UP,1.25L,4399,7 UP 1.25 L PET 12 Rs60 PR-ATL,12,60.00,55.0000,9.09,0.00,55.0000
BEV,7 UP,1.5L,1376,7 UP 1.5 L PET 12 Rs 65,12,65.00,60.0000,8.33,0.00,60.0000
BEV,7 UP,1.5L,1378,7 UP 1.5 L PET 12 Rs 68,12,68.00,63.0000,7.94,0.00,63.0000
BEV,7 UP,1.5L,1387,7 UP 1.5 L PET 12 Rs 75,12,75.00,70.0000,7.14,0.00,70.0000
BEV,7 UP,10L,3007,7 UP 10 L BIB,1,3000.00,2400.0000,25.00,0.00,2400.0000
BEV,7 UP,150ml,3585,7 UP 150ml CAN 24 Rs20,24,20.00,17.5000,14.29,0.00,17.5000
BEV,7 UP,180ml,4787,7UP 180ml CAN 30 Rs30 (ZERO),30,30.00,28.0000,7.14,0.00,28.0000
BEV,7 UP,1L,2211,7 UP 1.0 L PET 12 Rs35,12,35.00,32.0833,9.09,0.00,32.0833
BEV,7 UP,1L,2237,7 UP 1.0 L PET 12 RS40,12,40.00,37.1667,7.62,0.00,37.1667
BEV,7 UP,1L,2258,7 UP 1.0 L PET 12 Rs45,12,45.00,41.6667,8.00,0.00,41.6667
BEV,7 UP,1L,2295,7UP 1.25L 12 PET RS 52 (AF FREE),12,52.00,47.5000,9.47,0.00,47.5000
BEV,7 UP,1L,2297,7 UP 1.0 L PET 12 Rs47,12,47.00,43.0000,9.30,0.00,43.0000
BEV,7 UP,1L,2930,7 UP 1.0 L PET 12 Rs50,12,50.00,45.8333,9.09,0.00,45.8333
BEV,7 UP,1L,2966,7 UP 1.0 L PET 12 Rs49,12,49.00,45.0000,8.89,0.00,45.0000
BEV,7 UP,2.25L,2535,7 UP 2.25 L PET 9 Rs70,9,70.00,64.4444,8.62,0.00,64.4444
BEV,7 UP,2.25L,2548,7 UP 2.25 L PET 9 Rs75,9,75.00,62.0000,20.97,0.00,62.0000
BEV,7 UP,2.25L,2557,7 UP 2.25 L PET 9 Rs78,9,78.00,65.0000,20.00,0.00,65.0000
BEV,7 UP,2.25L,2574,7 UP 2.25 L PET 9 Rs80,9,80.00,74.0000,8.11,0.00,74.0000
BEV,7 UP,2.25L,2588,7 UP 2.25 L PET 9 Rs80 (SODA),9,80.00,74.4444,7.46,0.00,74.4444
BEV,7 UP,2.25L,3178,7 UP 2.25 L PET 9 Rs90,9,90.00,83.3333,8.00,0.00,83.3333
BEV,7 UP,2.25L,3185,7 UP 2.25 L PET 9 Rs90(A/F FREE),9,90.00,83.3333,8.00,0.00,83.3333
BEV,7 UP,2.25L,3956,7 UP 2.25 L PET 9 Rs85,9,85.00,78.3334,8.51,0.00,78.3334
BEV,7 UP,2.25L,3980,7 up 2.25 L PET 9 Rs85 Promo,9,85.00,73.8889,15.04,0.00,73.8889
BEV,7 UP,2.25L,4296,7 UP 2.25 L PET 9 RS99 PR- ATL,9,99.00,93.4444,5.95,0.00,93.4444
BEV,7 UP,2.25L,4352,7 UP 2.25 L PET 9 RS99,9,99.00,93.4444,5.95,0.00,93.4444
BEV,7 UP,2.25L,4453,7 UP 2.25 L PET 9 RS90 PROMO,9,90.00,83.3333,8.00,0.00,83.3333
